expiry_date;reference_id;control_timestamp;allee
2022-05-01;3560070224494;2021-02-01 15:15:48+00;Memet
2020-10-14;7311171005101;2020-12-14 16:50:37.97+00;Semi conserves
2020-11-15;3038681500035;2020-12-14 16:51:28.162+00;Semi conserves
2022-02-17;3245390031297;2021-05-04 13:53:48.522+00;Semi conserves
2022-08-01;3175690060119;2021-05-04 13:53:20.63+00;Semi conserves
2021-04-30;3175690065114;2021-05-04 13:54:09.633+00;Semi conserves
2022-08-31;3175690015119;2021-05-04 13:54:48.85+00;Semi conserves
1970-01-02;3262330000120;2021-05-10 13:16:05.58+00;Semi conserves
2022-04-30;3245413046581;2021-05-31 15:32:24.043+00;Semi conserves
2021-11-30;3440432018049;2021-06-07 13:58:34.019+00;Semi conserves
2021-12-30;3440432014195;2021-07-16 16:58:04.675+00;Semi conserves
2022-05-31;3560071162139;2021-08-02 20:09:33.721+00;Semi conserves
2022-04-30;3560070346264;2021-09-01 16:12:08.291+00;Semi conserves
1970-01-03;3292070101818;2021-10-02 17:39:00.585+00;Semi conserves
1970-01-03;3292070101801;2021-10-02 17:39:03.128+00;Semi conserves
2021-09-18;3245412961113;2021-10-02 17:39:17.46+00;Semi conserves
2023-03-15;7612100034606;2021-05-18 10:02:49.918+00;R14 BIO VITALITE
2022-04-30;3175681029941;2021-05-18 10:04:51.187+00;R14 BIO VITALITE
2022-01-31;3175681040861;2021-05-18 10:05:42.392+00;R14 BIO VITALITE
2022-04-15;3175681086661;2021-05-18 10:06:20.184+00;R14 BIO VITALITE
2022-05-31;7612100004128;2021-05-18 10:06:53.162+00;R14 BIO VITALITE
2022-01-31;7612100007082;2021-05-18 10:08:14.127+00;R14 BIO VITALITE
2022-01-31;3175681197350;2021-05-18 10:15:06.529+00;R14 BIO VITALITE
2022-07-31;3175680015228;2021-05-18 10:12:22.914+00;R14 BIO VITALITE
2022-01-31;3175681110106;2021-05-18 10:13:57.385+00;R14 BIO VITALITE
2022-06-05;3229820027005;2021-05-18 10:17:06.453+00;R14 BIO VITALITE
2022-02-22;3175681213920;2021-05-18 10:18:05.627+00;R14 BIO VITALITE
2021-12-19;3175681213807;2021-05-18 10:20:54.206+00;R14 BIO VITALITE
2021-12-14;3245413922403;2021-05-18 10:22:33.304+00;R14 BIO VITALITE
2022-01-27;3245414104730;2021-05-18 10:24:12.254+00;R14 BIO VITALITE
2022-01-07;3175681213777;2021-05-18 10:28:25.917+00;R14 BIO VITALITE
2021-11-30;3175680011480;2021-05-18 10:34:12.983+00;R14 BIO VITALITE
2022-02-28;3175680011534;2021-05-18 10:37:27.228+00;R14 BIO VITALITE
2022-07-03;3229820144160;2021-05-18 10:38:51.622+00;R14 BIO VITALITE
2022-01-15;3229820178684;2021-05-18 10:44:23.031+00;R14 BIO VITALITE
2022-01-31;3175681790285;2021-05-18 10:46:21.512+00;R14 BIO VITALITE
2021-12-31;3175681077324;2021-05-18 10:47:18.336+00;R14 BIO VITALITE
2022-01-31;3175681851863;2021-05-18 10:48:30.877+00;R14 BIO VITALITE
2023-12-15;3177710001416;2021-05-18 10:49:31.722+00;R14 BIO VITALITE
2022-01-31;3175680013231;2021-05-18 10:50:49.576+00;R14 BIO VITALITE
2022-11-15;3251490481009;2021-05-18 10:52:36.596+00;R14 BIO VITALITE
2021-11-25;3175681233904;2021-05-18 10:55:58.423+00;R14 BIO VITALITE
2021-12-14;3560070747085;2021-05-18 10:56:53.682+00;R14 BIO VITALITE
2022-01-31;3229820141992;2021-05-18 11:04:48.778+00;R14 BIO VITALITE
2022-02-08;3175680905383;2021-05-18 11:06:16.425+00;R14 BIO VITALITE
2021-11-16;3251490351500;2021-05-18 11:08:00.686+00;R14 BIO VITALITE
2022-01-31;3251490332080;2021-05-18 11:09:11.958+00;R14 BIO VITALITE
2021-12-31;3175681851825;2021-05-18 11:02:06.633+00;R14 BIO VITALITE
2022-04-27;3175681660304;2021-05-18 11:02:55.873+00;R14 BIO VITALITE
2021-11-30;3175681081444;2021-05-18 11:13:45.135+00;R14 BIO VITALITE
2021-12-31;3175681066632;2021-05-18 11:18:19.709+00;R14 BIO VITALITE
2021-12-31;3175680011442;2021-05-18 11:20:53.327+00;R14 BIO VITALITE
2022-02-28;3175681851856;2021-05-18 11:23:11.54+00;R14 BIO VITALITE
2021-11-30;3251490320001;2021-05-18 11:24:27.166+00;R14 BIO VITALITE
2022-03-31;3251490307002;2021-05-18 11:27:16.621+00;R14 BIO VITALITE
2021-12-31;3175681771772;2021-05-18 11:36:24.294+00;R14 BIO VITALITE
2021-12-08;3175681233874;2021-05-18 11:39:25.675+00;R14 BIO VITALITE
2022-03-11;3229820783611;2021-05-18 11:39:59.385+00;R14 BIO VITALITE
2023-01-17;3229820799308;2021-05-18 11:40:16.793+00;R14 BIO VITALITE
2021-11-29;3229820795003;2021-05-18 11:45:30.806+00;R14 BIO VITALITE
